,alpha,beta,iid_error_alpha,iid_error_beta,white_std_error_alpha,white_std_error_beta,newey_west_std_error_alpha,newey_west_std_error_beta
NoDur,0.2086057323290573,0.7742483771696315,0.0901458011724849,0.019939039043802453,0.09097917678867906,0.026149494940574284,0.10483292183790956,0.037207633645755474
Durbl,-0.09025123873734085,1.2399156162318326,0.17416417172739349,0.03852277282953443,0.16417626844017588,0.05417293240721129,0.16590944509871886,0.06613240728482898
Manuf,0.00733182032658135,1.0367175413787304,0.06637598554026812,0.014681475454701883,0.06735149907686591,0.01893228346210314,0.0716425873485058,0.022434642809546105
Enrgy,0.17419380316472846,0.8608497758216689,0.17383930974692888,0.03845091772782052,0.17457467525886836,0.05108232353497558,0.18945954906298101,0.06019377502581843
HiTec,0.023799732785135284,1.2293697371830385,0.11904409169119616,0.026330952316049285,0.11939725592821408,0.03047514655249124,0.12929098773092038,0.04365521052708596
Telcm,-0.008705997161869213,0.774718059846145,0.11652566626121275,0.025773910475783614,0.11673820562327596,0.03047356452012747,0.1273322978497796,0.0368625936763588
Shops,0.1252590617986826,0.9999178521520088,0.09493159536301243,0.02099759236497098,0.09410170630455233,0.028346961539844215,0.102715207868581,0.032005435539276254
Hlth ,0.21893916803344174,0.8213951496915531,0.11449366992404748,0.025324460209918447,0.11314602235600361,0.03508658656079697,0.11327096089497046,0.0403327561851878
Utils,0.16140783493962144,0.5259283272260329,0.12315137673308377,0.027239428537338,0.12527810929927158,0.03422158841809502,0.1208496878875155,0.038355645185137996
Other,-0.042531570382608026,1.097764899565513,0.07478927414909704,0.016542381762886332,0.07582768127941614,0.019682093778045567,0.08526074066715406,0.025980559105910402
