,alpha,beta_mkt,beta_s,beta_h,iid_error_alpha,iid_error_beta_mkt,iid_error_beta_smb,iid_error_beta_hml,white_std_error_alpha,white_std_error_beta_mkt,white_std_error_beta_smb,white_std_error_beta_hml,newey_west_std_error_alpha,newey_west_std_error_beta_mkt,newey_west_std_error_beta_smb,newey_west_std_error_beta_hml
NoDur,0.1594941198006117,0.8111286886654534,-0.08410226104322337,0.14651234430704052,0.08890876388444231,0.020712842975086004,0.030116933253791646,0.029942459803740325,0.08777750740173454,0.02518493677323673,0.03866923043606837,0.04124065292071313,0.09887084945325403,0.03325438939184354,0.0495061208662211,0.060628395509776126
Durbl,-0.22111102030210197,1.2449779933358849,0.19771107092566484,0.3278670888562604,0.17111072162339305,0.03986321880422829,0.05796200461000455,0.057626219062685426,0.16082570740392194,0.05369967589606707,0.07862448493669107,0.07900091309175976,0.16183011162895747,0.05697772818545386,0.10129773140610393,0.10158327058180489
Manuf,-0.06115833502364411,1.057233899680826,0.02262340272643144,0.1835855812703295,0.06388892121441268,0.014884035444264363,0.02164171777679967,0.021516342954146377,0.06384667048432519,0.017650300998558525,0.029307415259975104,0.028433020941299517,0.06460293456565455,0.01829336832774995,0.03970107953284546,0.03872601103126024
Enrgy,0.0010503499562223354,0.9513718980451551,-0.11774790970289191,0.49003519258215583,0.1660168458133533,0.03867651183431612,0.056236506345587495,0.055910716956665815,0.16540521563781468,0.05162831586954957,0.06222858154409346,0.08944512440796476,0.17280039463233218,0.0607787723463153,0.07303306661111922,0.12171179420166443
HiTec,0.20525366386740748,1.1210138264288714,0.18444346444825283,-0.522603772860744,0.10232657970890499,0.02383875655321136,0.034662080952867054,0.034461276548287,0.10137855220316568,0.02884530389993563,0.04493950102110892,0.04455894458539455,0.10405918583498514,0.03542793506306036,0.045435919699584056,0.062488273413245206
Telcm,-0.05017941644637528,0.8315369802398944,-0.18721152200409305,0.14094750192492303,0.11449703377912976,0.026674075514789824,0.03878469763188979,0.03856001007993989,0.11473794947883394,0.030021367160789583,0.043184532383247175,0.04673497291697772,0.12017985386264579,0.035406040743004276,0.051075283487552386,0.059703656304641424
Shops,0.1328051327225068,0.9785150851611126,0.08413563514729425,-0.03306718869622892,0.09528058612293269,0.022197269793375246,0.032275322783434174,0.03208834534884306,0.09341500906581922,0.029956974242175312,0.05596812671564534,0.04801703990807472,0.09937853629179016,0.03319250487962722,0.08244267446913996,0.06956103661631624
Hlth ,0.3276962966337621,0.8230756736124792,-0.19096235596901495,-0.26853982305253626,0.11026460835753715,0.025688058396441945,0.03735100686447085,0.037134624971413586,0.10833324801106518,0.03159284983190387,0.05072845536996912,0.055259521332559555,0.10514223111790635,0.03597473138663971,0.049343778074543314,0.07696999041127472
Utils,0.060004364460715456,0.6094050299337359,-0.20681277076630392,0.3074275222038327,0.11677404644932173,0.02720454522136754,0.039556012355096835,0.03932685642186457,0.11815213365549541,0.03258515775276141,0.04559606387517655,0.051633078100823175,0.10544449736395714,0.03399546577868954,0.04728311846818179,0.06429886708984814
Other,-0.18846338782300293,1.1407956636030023,0.05129631722126792,0.39070697485051975,0.06206120906651524,0.014458238109231554,0.02102259900424632,0.020900810861130704,0.06351118653644199,0.018641321243357763,0.040414592182313046,0.030522634671157903,0.06318505395444196,0.022722819338550415,0.06567481811208135,0.04526431574507545
